GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ebookstore-backend,com.ebookstore.controller,UserController,0,107,0,0,0,22,0,3,0,3
ebookstore-backend,com.ebookstore.controller,AuthController,0,123,0,6,0,28,0,9,0,6
ebookstore-backend,com.ebookstore.controller,BookController,0,179,0,0,0,34,0,4,0,4
ebookstore-backend,com.ebookstore.controller,CartController,32,281,2,6,6,55,2,7,0,5
ebookstore-backend,com.ebookstore.controller,AdminUserController,0,65,0,0,0,14,0,3,0,3
ebookstore-backend,com.ebookstore.controller,StatisticsController,36,334,5,21,5,46,5,12,0,4
ebookstore-backend,com.ebookstore.controller,OrderController,19,643,14,44,5,135,13,25,0,9
ebookstore-backend,com.ebookstore.controller,AdminBookController,3,504,2,8,0,99,2,12,0,9
ebookstore-backend,com.ebookstore.dao.impl,UserDaoImpl,0,104,0,4,0,24,0,11,0,9
ebookstore-backend,com.ebookstore.dao.impl,UserAuthDaoImpl,0,24,0,0,0,5,0,5,0,5
ebookstore-backend,com.ebookstore.interceptor,LoginInterceptor,0,89,3,13,0,23,3,8,0,3
ebookstore-backend,com.ebookstore.interceptor,AdminInterceptor,0,65,1,7,0,16,1,5,0,2
ebookstore-backend,com.ebookstore.dto,LoginResponseDTO,0,16,0,0,0,2,0,2,0,2
ebookstore-backend,com.ebookstore.dto,CartItemDTO,0,50,0,0,0,12,0,2,0,2
ebookstore-backend,com.ebookstore.dto,OrderDTO,0,18,0,0,0,7,0,1,0,1
ebookstore-backend,com.ebookstore.dto,UserListDTO,0,33,0,0,0,12,0,2,0,2
ebookstore-backend,com.ebookstore,EBookStoreApplication,5,3,0,0,2,1,1,1,1,1
ebookstore-backend,com.ebookstore.entity,Order,0,38,1,1,0,14,1,5,0,5
ebookstore-backend,com.ebookstore.entity,Book,0,18,1,1,0,7,1,2,0,2
ebookstore-backend,com.ebookstore.entity,CartItem,0,4,0,0,0,2,0,1,0,1
ebookstore-backend,com.ebookstore.entity,UserAuth,0,4,0,0,0,2,0,1,0,1
ebookstore-backend,com.ebookstore.entity,User,0,11,0,0,0,5,0,2,0,2
ebookstore-backend,com.ebookstore.config,WebConfig,0,89,0,0,0,14,0,3,0,3
ebookstore-backend,com.ebookstore.service.impl,AuthServiceImpl,0,416,0,14,0,87,0,15,0,8
ebookstore-backend,com.ebookstore.service.impl,BookServiceImpl,15,344,2,6,0,72,3,22,1,20
ebookstore-backend,com.ebookstore.service.impl,OrderServiceImpl,42,654,1,27,0,139,4,27,3,14
ebookstore-backend,com.ebookstore.service.impl,StatisticsServiceImpl,11,534,6,20,3,103,6,20,0,13
ebookstore-backend,com.ebookstore.service.impl,UserServiceImpl,15,225,3,5,2,57,3,15,0,14
ebookstore-backend,com.ebookstore.service.impl,CartServiceImpl,16,312,3,25,0,75,6,20,3,9
